TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source
E000003.001,,,,,Jean Le Rond d'Alembert,"mathematics, mechanics",,,,"D'Alembert's paradox, d'Alembert operator, Encyclopédie",,24273,,,,France,,,"Jean Le Rond d'Alembert, by French school.jpg","Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",French,"philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, Encyclopédistes, engineer, astronomer, lexicographer",Catacombs of Paris,,"Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,male,,,Jean Le Rond d'Alembert,,,,,,"D'Alembert, Jean le Rond",,1766,An account of the destructions of the Jesuits in France,,,Gutenberg
E000004.001,,,,,Denis Diderot,performing arts,"Encyclopédistes, materialism",,,Jacques the Fatalist,"Aristotelis, Benedictus de Spinoza, Voltaire",25247,,4aa9616b-6b6c-429b-8077-0e4e0d61316f,,"Kingdom of France, France",,French people,Louis-Michel van Loo 001.jpg,"Royal Prussian Academy of Sciences, Russian Academy of Sciences, Saint Petersburg Academy of Sciences",French,"philosopher, novelist, essayist, Encyclopédistes, art critic, playwright, literary critic, correspondent, translator, historian, political scientist, lexicographer",Saint-Roch,,,atheist,male,Anne-Antoinette Diderot,,Jean Le Rond d'Alembert,Denis Diderot,,,,,"D'Alembert, Jean le Rond and Denis Diderot",,NA,Encyclopedic liberty: Political articles in the Encyclopedia of Diderot and D'Alembert,,,Liberty Fund
E000005.001,,,,,Jean Le Rond d'Alembert,"mathematics, mechanics",,,,"D'Alembert's paradox, d'Alembert operator, Encyclopédie",,24273,,,,France,,,"Jean Le Rond d'Alembert, by French school.jpg","Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",French,"philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, Encyclopédistes, engineer, astronomer, lexicographer",Catacombs of Paris,,"Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,male,,,Jean Le Rond d'Alembert,,,,,,"D'Alembert, Jean le Rond",,1751,Preliminary Discourse to the Encyclopedia,,,UMich
E000006.001,,,,,Francis Bacon,"philosophy, scientist, philosopher, politician",empiricism,,,,,103266,990,,pneumonia,Kingdom of England,,,Somer Francis Bacon.jpg,Gray's Inn,,"philosopher, writer, judge, politician, lawyer, astrologer",Hertfordshire,,"Member of Parliament in the Parliament of England, Attorney General for England and Wales, Member of the 1572-83 Parliament, Member of the 1584-85 Parliament, Member of the 1586-87 Parliament, Member of the 1589 Parliament, Member of the 1593 Parliament, Member of the 1597-98 Parliament, Member of the 1601 Parliament, Member of the 1604-11 Parliament, Member of the 1614 Parliament",Anglicanism,male,Alice Barnham,,Francis Bacon,,,,,,"Bacon, Sir Francis",,NA,Novum Organon,,,Liberty Fund
E000007.001,,,,,Cesare Beccaria,,Italian romanticism,,,,,,,,stroke,,University of Milan,,Cesare Beccaria.jpg,Accademia dei Pugni,,"philosopher, jurist, economist, criminologist",Mojazza Cemetery,,,,male,,,Cesare Beccaria,,,,,,"Beccaria, Cesare",,1764,An Essay on Crimes and Punishments,,,Liberty Fund
E000008.001,,,,,Aphra Behn,poetry,,,,"Oroonoko, The Forc'd Marriage, The Dutch Lover, Abdelazer, The Town Fop or, Sir Timothy Tawdry, The Rover, The Feign'd Curtizans, The City Heiress, The Luckey Chance, The Emperor of the Moon, The Widow Ranter, or, the History of Bacon in Virginia, The Younger Brother, or, The Amorous Jilt, The Fair Jilt, Agnes de Castro, or, the Force of Generous Love, Love-Letters Between a Nobleman and His Sister, The History of the Nun",,84296,1961,9392bd37-5d3e-4d97-952b-71b696d36ef1,,United Kingdom,,,Aphra Behn by Peter Lely ca. 1670.jpg,,English,"playwright, translator, poet, writer, novelist, feminist",Westminster Abbey,,,,female,,William Scott,Aphra Behn,,,,,,"Behn, Aphra",,1689,"The history of the nun; or, the fair vow-breaker",,,Gutenberg
E000009.001,,,,,Aphra Behn,poetry,,,,"Oroonoko, The Forc'd Marriage, The Dutch Lover, Abdelazer, The Town Fop or, Sir Timothy Tawdry, The Rover, The Feign'd Curtizans, The City Heiress, The Luckey Chance, The Emperor of the Moon, The Widow Ranter, or, the History of Bacon in Virginia, The Younger Brother, or, The Amorous Jilt, The Fair Jilt, Agnes de Castro, or, the Force of Generous Love, Love-Letters Between a Nobleman and His Sister, The History of the Nun",,84296,1961,9392bd37-5d3e-4d97-952b-71b696d36ef1,,United Kingdom,,,Aphra Behn by Peter Lely ca. 1670.jpg,,English,"playwright, translator, poet, writer, novelist, feminist",Westminster Abbey,,,,female,,William Scott,Aphra Behn,,,,,,"Behn, Aphra",,1688,Oroonoko; or the royal slave,,,Gutenberg
E000010.001,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,1789,An introduction to the principles of morals and legislation,,,Liberty Fund
E000011.001,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.002,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.003,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.004,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.005,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.006,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.007,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.008,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.009,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.010,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000011.011,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,NA,The works,,,Liberty Fund
E000012.001,,,,,Richard Blackmore,,,,,,,84981,2528,,,Great Britain,,,Richard Blackmore.jpg,,,"poet, physician",Boxted (St. Peter) Churchyard And New Churchyard,,,,male,,,Richard Blackmore,,,,,,"Blackmore, Richard",,1716,Essay upon wit,,,Gutenberg
E000013.001,,,,,William Blackstone,,,,,Commentaries on the Laws of England,,84983,2536,,,"Great Britain, United Kingdom",University of Oxford,,William Blackstone.jpg,13th Parliament of Great Britain,,"judge, barrister, university teacher, lawyer, politician, writer","St Peter's Church, Wallingford",Tories,"Justice of the Common Pleas, Justice of the King's Bench, Queen's Counsel, serjeant-at-law, Member of the 13th Parliament of Great Britain, Member of the 12th Parliament of Great Britain",,male,,,William Blackstone,,,,,,Blackstone,,1770,A commentary on the laws of England,,,Liberty Fund
E000014.001,,,,,Jean-Jacques Burlamaqui,,,,,,,,,,,Republic of Geneva,,,Burlamaqui.jpg,"Council of Two Hundred, Conseil des Soixante, Chliine Root",,"philosopher, lawyer",,,,,male,,,Jean-Jacques Burlamaqui,,,,,,Burlamaqui,,1747,The principles of natural and politic law,,,Liberty Fund
E000015.001,,,,,Robert Burns,,Romanticism,,,"Auld Lang Syne, To a Mouse, Is There for Honest Poverty, Ae fond kiss, and then we sever..., Scots Wha Hae, Tam o' Shanter, Halloween, The Battle of Sherramuir",,104824,4093,,congenital heart disease,"Great Britain, United Kingdom",,Scottish people,Robert Burns 1.jpg,,,"songwriter, poet, writer, musicologist, farmer","St Michael's Church, Dumfries",,,,male,Jean Armour,,Robert Burns,,,,,,"Burns, Robert",,1796,Poems and songs of Robert Burns,,,Gutenberg
E000016.001,,,,,Hester Chapone,,,,,,,170103,5128,1604b929-5666-466a-a242-246cc1700d67,,,,,Hester Chapone.jpg,,,writer,,,,,female,John Chapone,,Hester Chapone,,,,,,"Chapone, Hester",,1774,Letters on the improvement of the mind,,,Gutenberg
