TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source
K023584.000,,,,Free,Francis Gentleman,,,,,,,,10525,,,,,,,,,"author, poet",,,,,male,,,Francis Gentleman,,,,,,"Gentleman, Francis, 1728-1784.",1,1773,"Introduction to Shakespeare's plays, containing an essay on oratory; Orator",,56,
K023596.000,,,,Free,"Bischoff, Frederick.",,,,,,,,,,,,,,,,,,,,,,male,,,"Bischoff, Frederick.",,,,,,"Bischoff, Frederick.",1,1793,"A treatise on the extraction of the cataract. By Frederick Bischoff,",,90,
K023735.000,,,,Free,"Jackson, Rowland, 1720-1784.",,,,,,,,,,,,,,,,,,,,,,male,,,"Jackson, Rowland, 1720-1784.",,,,,,"Jackson, Rowland, 1720-1784.",1,1746,"A physical dissertation on drowning: in which submersion, commonly called drowning, is shown to be a long time consistent with the continuance of life, from a variety of unexceptionable though surprising facts, ... To which is subjoined, the proper measures for recovery and relief; ... by a physician.",,82,
K023749.000,,,,Free,Daniel Defoe,,,,,"Robinson Crusoe, Moll Flanders, A Journal of the Plague Year",,24826,7421,,,"Kingdom of England, Great Britain",,English people,Daniel Defoe Kneller Style.jpg,,,"journalist, novelist, prosaist, children's writer, publicist, writer, businessperson, opinion journalist",Bunhill Fields,,,,male,Mary Tuffley,,Daniel Defoe,,,,,,"Defoe, Daniel, 1661?-1731.",1,1706,"The vision, a poem: Being an answer to the Lord Beilhaven's speech. By a person of quality.",,4,
K023755.000,,,,Free,Thomas Spence,,,,,,,,26112,,,United Kingdom of Great Britain and Ireland,,,ThomasSpence.png,,,"writer, politician",,,,,male,,,Thomas Spence,,,,,,"Spence, Thomas, 1750-1814.",1,1793,"Burke's address to the ""swinish*"" multitude! Tune ""Derry down, down,"" &c",,1,
K023942.000,,,,Free,Benjamin Hoadly,,,,,"The Nature of the Kingdom, or Church, of Christ",,,13375,,,Great Britain,,British people,Benjamin Hoadly by Sarah Hoadly.jpg,,,"priest, theologian",Winchester Cathedral,,"Bishop of Winchester, Bishop of Hereford, Bishop of Salisbury",Church of England,male,,,Benjamin Hoadly,,,,,,"Hoadly, Benjamin, 1676-1761.",1,1717,"The nature of the kingdom, or church, of Christ: A sermon preached before the King, at the Royal chapel at St. James's, on Sunday March 31, 1717. By ... Benjamin Lord Bishop of Bangor. ...",,30,
K023951.000,,,,Free,"Society of Apothecaries, London.",,,,,,,,,,,,,,,,,,,,,,NA,,,"Society of Apothecaries, London.",,,,,,"Society of Apothecaries, London.",1,1732,The case of the apothecaries,Pharmacists; Royal College of Physicians of London -- England -- Early works to 1800.,4,
K023953.000,,,,Free,William Falconer,,,,,,,,9118,,,Great Britain,,,William Falconer b1744.jpg,"Royal Society, American Academy of Arts and Sciences",,"physician, translator, writer",,,,,male,,,William Falconer,,,,,,"Falconer, William, 1744-1824.",1,1778,"Observations on some of the articles of diet and regimen usually recommended to valetudinarians. By William Falconer, M.D. F.R.S",,65,
K023978.000,,,,Free,William Woodville,plant science,,,,Medical Botany,,168898,29940,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,William Woodville with 'View of the inoculating Hospital at Pancras' (1806).jpg,,,"botanist, author",,,,,male,,,William Woodville,,,,,,"Woodville, William, 1752-1805.",1,1800,"Observations on the cow-pox. By William Woodville,",,45,
K023997.000,,,,Free,John Arbuthnot,,,,,,,17554,610,,,Great Britain,,,Arbuthnot John Kneller.jpg,"Royal Society, Royal College of Physicians",,"mathematician, writer, composer, physician","St James's Church, Piccadilly",Tories,,,male,,,John Arbuthnot,,,,,,"Arbuthnot, John, 1667-1735.",1,1716,"To the Right Honorable the Mayor and aldermen of the City of London: the humble petition of the colliers, cooks, cook-maids, black-smiths, jack-makers, brasiers, and others, shows","Satire, English; England -- Economic conditions; England -- Social life and customs; Great Britain -- History",2,
K024112.000,,,,Free,Granville Sharp,,,,,,,78454,25208,,,United Kingdom of Great Britain and Ireland,,,Granville Sharp (Hoare memoire).jpg,,,"politician, jurist","Tomb Of Granville Sharp, All Saints Churchyard",,,,male,,,Granville Sharp,,,,,,"Sharp, Granville, 1735-1813.",1,1767,A short treatise on the English tongue: Being an attempt to render the reading and pronunciation of the same more easy to foreigners.,,68,
K024142.000,,,,Free,Thomas Francklin,,,,,,,,10080,,,,,,,,,"journalist, translator",,,,Anglicanism,male,,,Thomas Francklin,,,,,,"Francklin, Thomas, 1721-1784.",1,1748,"A sermon preached at the parish church of St. Peter's Cornhill; on the Sunday after the late dreadful fire in that neighborhood. By Thomas Francklin,",,14,
K024153.000,,,,Free,John O'Keeffe,,,,,,,158619,20658,,,,,,John O'Keeffe by Thomas or William Lawranson.jpg,,,"actor, writer",,,,,male,,,John O'Keeffe,,,,,,"O'Keeffe, John, 1747-1833.",1,1788,"The farmer: a comic opera: In two acts. As it is performed at the theaters Royal in London and Dublin. By John O'Keefe, Esquire.",,36,
K024207.000,,,,Free,Francis Godolphin Waldron,,,,,,,,28449,,,,,,FG Waldron Gardiner.jpg,,,stage actor,,,,,male,,,Francis Godolphin Waldron,,,,,,"Waldron, F. G. (Francis Godolphin), 1744-1818.",1,1798,"The man with two wives: or, wigs for ever! A dramatick fable; by F. G. Waldron. Set to music by Mr. Sanderson. And first performed at the Royalty Theater, Saturday, March 24th. 1798.",,13,
K024307.000,,,,Free,David Garrick,,,,,,,28452,10408,,,Great Britain,,,Kauffman-Garrick.jpg,,,"playwright, theatrical producer, writer, screenwriter, stage actor, actor",Poets' Corner,,,,male,Eva Marie Veigel,,David Garrick,,,,,,"Garrick, David, 1717-1779.",1,1765,"The sick monkey, a fable",,25,
K024330.000,,,,Free,Charles Dibdin,,,,,,,25210,7585,77ef5827-0568-4523-8a04-9284f4aee0b4,,United Kingdom of Great Britain and Ireland,,English people,Charles Dibdin by Thomas Phillips.jpg,,,"singer-songwriter, playwright, composer, writer, stage actor, singer",Winchester Cathedral,,,,male,Anne Maria Wylde,Harriet Pitt,Charles Dibdin,,,,,,"Dibdin, Charles, 1745-1814.",1,1785,"Liberty-Hall: or, a test of good fellowship. A comic opera, in two acts. As it is performed with the greatest applause at the Theater Royal in Drury Lane.",,35,
K024379.000,,,,Free,"Jackson, Humphrey, ca. 1717-1801.",,,,,,,,,,,,,,,,,,,,,,male,,,"Jackson, Humphrey, ca. 1717-1801.",,,,,,"Jackson, Humphrey, ca. 1717-1801.",1,1744,"Reflections concerning the virtues of tar water: Wherein is proved by experience, that its present preparation is not founded upon philosophical principles; ... By H. Jackson, chemist.",,18,
K024381.000,,,,Free,John Philip Kemble,,,,,,,33619,15322,,,United Kingdom of Great Britain and Ireland,,,"Beechey, Sir William - John Philip Kemble - Google Art Project.jpg",,,"impresario, stage actor",,,,,male,Priscilla Hopkins,,John Philip Kemble,,,,,,"Kemble, John Philip, 1757-1823.",1,1794,"Lodoiska: an opera, in three acts, perfomed, for the first time, by His Majesty's Servants, at the Theater Royal, Drury Lane, on Monday, June 9th. 1794. Written by J. P. Kemble. ...",,57,
K024393.000,,,,Free,"Sparham, Legard.",,,,,,,,,,,,,,,,,,,,,,male,,,"Sparham, Legard.",,,,,,"Sparham, Legard.",1,1722,"Reasons against the practice of inoculating the smallpox: As also a brief account of the operation of this poison, infused after this manner into a wound. By Legard Sparham, Surgeon.",,29,
K024396.000,,,,Free,"Lynn, Walter, 1677-1763.",,,,,,,,,,,,,,,,,,,,,,male,,,"Lynn, Walter, 1677-1763.",,,,,,"Lynn, Walter, 1677-1763.",1,1715,"Some reflections upon the modern practisers of physic, in relation to the small pox. ... By Walter Lynn",,31,
K024432.000,,,,Free,Edward Jerningham,,,,,,,149150,14784,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,Edward Jerningham.jpg,Accademia della Crusca,,"playwright, poet",,,,,male,,,Edward Jerningham,,,,,,"Jerningham, Mr. (Edward), 1737?-1812.",1,1775,"The fall of Mexico, a poem. By Mr. Jerningham",,59,
K024489.000,,,,Free,Thomas Francklin,,,,,,,,10080,,,,,,,,,"journalist, translator",,,,Anglicanism,male,,,Thomas Francklin,,,,,,"Francklin, Thomas, 1721-1784.",1,1779,"A sermon preached at St. George's Bloomsbury, on Sunday, March 28: for the benefit of the Humane Society, ... By Thomas Francklin, ...",,58,
K024533.000,,,,Free,"Merande, D.",,,,,,,,,,,,,,,,,,,,,,male,,,"Merande, D.",,,,,,"Merande, D.",1,1768,"A succinct account of a machine, newly invented for the cure of praeternatural curvatures of the spine: together with a detail of several cases, in which this machine has been tried with great success. By D. Merande, M.D",,23,
K024534.000,,,,Free,Francis Home,medicine,,,,,,147863,13640,,,,University of Edinburgh,,Francis Home (1719-1813).jpg,Royal Society of Edinburgh,,"military physician, surgeon, chemist",,,,,male,,,Francis Home,,,,,,"Home, Francis, 1719-1813.",1,1765,"An inquiry into the nature, cause, and cure of the croup. By Francis Home,",,61,
K024661.000,,,,Free,Edward Jerningham,,,,,,,149150,14784,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,Edward Jerningham.jpg,Accademia della Crusca,,"playwright, poet",,,,,male,,,Edward Jerningham,,,,,,"Jerningham, Mr. (Edward), 1737?-1812.",1,1782,"Honoria: or the day of All Souls, a poem, with other poetical pieces",,25,
K024662.000,,,,Free,Edward Jerningham,,,,,,,149150,14784,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,Edward Jerningham.jpg,Accademia della Crusca,,"playwright, poet",,,,,male,,,Edward Jerningham,,,,,,"Jerningham, Mr. (Edward), 1737?-1812.",1,1789,Enthusiasm: a poem. In two parts. By Mr. Jerningham,,36,
K024720.000,,,,Free,John Arbuthnot,,,,,,,17554,610,,,Great Britain,,,Arbuthnot John Kneller.jpg,"Royal Society, Royal College of Physicians",,"mathematician, writer, composer, physician","St James's Church, Piccadilly",Tories,,,male,,,John Arbuthnot,,,,,,"Arbuthnot, John, 1667-1735.",1,1726,"It cannot rain but it pours: or, London strow'd with rarities. Being, an account of the arrival of a white bear, at the house of Mr. Ratcliff in Bishopsgate-Street: as also of the Faustina, ... and of the copper-farthing dean from Ireland. And lastly, of the wonderful wild man.",,10,
K024732.000,,,,Free,Charles Churchill,,,,,,,132693,5397,,disease,Great Britain,,,Charles Churchill (satirist).jpg,,English,"poet, writer",,,,,male,,,Charles Churchill,,,,,,"Churchill, Charles, 1731-1764.",1,1763,The ghost: Book IV. By C. Churchill.,,88,
K024736.000,,,,Free,Richard Bentley,,,,,,,134764,2169,,,Great Britain,University of Cambridge,,Richard Bentley 3.jpg,"Royal Society, Royal Prussian Academy of Sciences",,"librarian, classical philologist, classical scholar, literary critic, theologian, deacon, university teacher",,,vice chancellor,Anglicanism,male,,,Richard Bentley,,,,,,"Bentley, R. (Richard), 1708-1782.",1,1763,"Patriotism, a mock-heroic. In five cantos",,65,
K024779.000,,,,Free,Charlotte Lennox,poetry,,,,,,153742,16454,,,"United Kingdom of Great Britain and Ireland, United States of America, United Kingdom",,,Charlotte Lennox 02.jpg,,,"poet, translator, novelist, writer, playwright, editor",,,,,female,,,Charlotte Lennox,,,,,,"Lennox, Charlotte, ca. 1729-1804.",1,1758,Philander. A dramatic pastoral: By the author of the Female quixote.,,47,
K024818.001,,,,Free,Thomas Holcroft,,,,,,,31815,13487,,,"United Kingdom of Great Britain and Ireland, Great Britain",,,Thomas Holcroft by John Opie (2).jpg,,,"playwright, writer, novelist",,,,,male,,,Thomas Holcroft,,,,,,"Holcroft, Thomas, 1745-1809.",1,1780,Alwyn: or the gentleman comedian. In two volumes. ...,,209,
K024818.002,,,,Free,Thomas Holcroft,,,,,,,31815,13487,,,"United Kingdom of Great Britain and Ireland, Great Britain",,,Thomas Holcroft by John Opie (2).jpg,,,"playwright, writer, novelist",,,,,male,,,Thomas Holcroft,,,,,,"Holcroft, Thomas, 1745-1809.",1,1780,Alwyn: or the gentleman comedian. In two volumes. ...,,247,
K024870.000,,,,Free,Philip Francis,,,,,,,,10076,,,,,,,,,"linguist, translator",,,,Anglicanism,male,,,Philip Francis,,,,,,"Francis, Philip, 1708?-1773.",1,1762,"A letter from the Cocoa Tree, to the country gentlemen",,15,
K024902.000,,,,Free,"Nettleton, Thomas, 1683-1742.",,,,,,,,,,,,,,,,,,,,,,male,,,"Nettleton, Thomas, 1683-1742.",,,,,,"Nettleton, Thomas, 1683-1742.",1,1722,"An account of the success of inoculating the smallpox: in a letter to Dr. William Whitaker. By Tho. Nettleton, M.D.",,12,
K024903.000,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1725,A new essay on the smallpox: With a view to preserve this nation from the infection of that distemper. ... By ***** **** M.D.,,17,
K024904.000,,,,Free,"Warren, Martin, 1696-1735.",,,,,,,,,,,,,,,,,,,,,,male,,,"Warren, Martin, 1696-1735.",,,,,,"Warren, Martin, 1696-1735.",1,1733,"I have perused a pamphlet entitled, Some reasons why the practice of inoculation ought to be introduced into the town of Bury at present, and have been surprised to find this elaborate piece so little in substance,",,30,
K024906.000,,,,Free,Alexander Pope,,,,,"The Rape of the Lock, Messiah, Eloisa to Abelard, An Essay on Criticism",,42379,22526,00b799d0-0429-4481-b133-112f9f6e1fd6,tuberculosis,"Kingdom of England, Great Britain",,English people,Alexander Pope by Michael Dahl.jpg,,,"poet, literary historian, translator, writer",London,Tories,,Catholic Church,male,,,Alexander Pope,,,,,,"Pope, Alexander, 1688-1744.",1,1793,Pastorals. By Alexander Pope,,13,
K025215.000,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1738,"A treatise of the gravel and stone, showing, I. Their nature, causes, difference, and symptoms. II. The method of curing them. III. How to ease and remove the fits when present. And, IV. To prevent them for the future. With their proper remedies prescribed; and easily to be prepared, by the patients themselves. Written, ... by a late learned and eminent physicain [sic]",,70,
K025217.000,,,,Free,David Hartley,,,,,,,141974,12494,,,Great Britain,,,"Portrait of D. Hartley, 17thC Wellcome L0002618.jpg",Royal Society,,"psychologist, philosopher, physician",,,,Anglicanism,male,,,David Hartley,,,,,,"Hartley, David, 1705-1757.",1,1738,"Ten cases of persons who have taken Mrs. Stephens's medicines for the stone. With an abstract of some experiments, tending to illustrate these cases",,40,
K025272.000,,,,Free,"Hayley, William, 1657-1715.",,,,,,,,,,,,,,,,,,,,,,male,,,"Hayley, William, 1657-1715.",,,,,,"Hayley, William, 1657-1715.",1,1702,"A sermon preached in Lambeth-chapel, at the consecration of ... John Lord Bishop of Bangor, on Sunday, Jan. 4th 1701/2. By William Hayley,",,28,
K025325.000,,,,Free,Hugh Kelly,,,,,,,,15298,,,,,,,,,"poet, playwright, editor",,,,,male,,,Hugh Kelly,,,,,,"Kelly, Hugh, 1739-1777.",1,1768,False delicacy: a comedy; as it is performed at the Theater Royal in Drury Lane. By His Majesty's servants. By Hugh Kelly.,,95,
K025327.000,,,,Free,Charlotte Lennox,poetry,,,,,,153742,16454,,,"United Kingdom of Great Britain and Ireland, United States of America, United Kingdom",,,Charlotte Lennox 02.jpg,,,"poet, translator, novelist, writer, playwright, editor",,,,,female,,,Charlotte Lennox,,,,,,"Lennox, Charlotte, ca. 1729-1804.",1,1769,The sister: a comedy. By Mrs. Charlotte Lennox.,,79,
K025519.000,,,,Free,Robert Jephson,,,,,,,149141,14768,,,,,,,,,"writer, playwright, politician",,,Member of Parliament in the Parliament of Ireland,,male,,,Robert Jephson,,,,,,"Jephson, Robert, 1736-1803.",1,1774,"The speech delivered by Robert Jephson, Esquire; on the 11th of February, 1774, in the debate on the committing heads of a bill, for ""the better encouragement of persons professing the Popish religion to become Protestants, and for the further improvement of the kingdom."" John Foster, Esquire; in the chair",,39,
K025532.001,,,,Free,Richard Cumberland,,,,,,,24170,6888,8c546a9b-e98a-4bee-87a8-dfd815b4c1e4,,United Kingdom of Great Britain and Ireland,,,"Richard Cumberland, dramatist.jpg",,,"writer, playwright, novelist, essayist",Westminster Abbey,,,,male,Elizabeth Ridge,,Richard Cumberland,,,,,,"Cumberland, Richard, 1732-1811.",1,1789,Arundel: By the author of The observer. ...,,297,
K025532.002,,,,Free,Richard Cumberland,,,,,,,24170,6888,8c546a9b-e98a-4bee-87a8-dfd815b4c1e4,,United Kingdom of Great Britain and Ireland,,,"Richard Cumberland, dramatist.jpg",,,"writer, playwright, novelist, essayist",Westminster Abbey,,,,male,Elizabeth Ridge,,Richard Cumberland,,,,,,"Cumberland, Richard, 1732-1811.",1,1789,Arundel: By the author of The observer. ...,,301,
K025595.000,,,,Free,William Buchan,,,,,,,66357,3828,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,William Buchan b1729.jpg,,,physician writer,Westminster Abbey,,,,male,,,William Buchan,,,,,,"Buchan, William, 1729-1805.",1,1790,"A letter to the patentee, concerning the medical properties of the fleecy hosiery: By William Buchan,...",,19,
K025607.000,,,,Free,William Rufus Chetwood,,,,,,,,5247,,,,,,,,,novelist,,,,,male,,,William Rufus Chetwood,,,,,,"Chetwood, W. R. (William Rufus), d. 1766.",1,1748,"Kilkenny: or, the old man's wish. By W. R. Chetwood",,19,
K025649.000,,,,Free,Jean-Paul Marat,,,,,Les Chaînes de l'esclavage,,37144,,,stab wound,"France, Switzerland",,,Jean-Paul Marat - portrait peint par Joseph Boze.jpg,,French,"politician, journalist, physician",Panthéon,Jacobin,member of the French National Assembly,,male,,Simone Évrard,Jean-Paul Marat,,,,,,"Marat, Jean Paul, 1743-1793.",1,1775,"An essay on gleets: wherein the defects of the actual method of treating those complaints of the urethra are pointed out, and an effectual way of curing them indicated. By J. P. Marat, M.D.",,15,
K025723.000,,,,Free,"Berkeley, George, 1733-1795.",,,,,,,,,,,,,,,,,,,,,,male,,,"Berkeley, George, 1733-1795.",,,,,,"Berkeley, George, 1733-1795.",1,1791,"An inquiry into the origin of episcopacy, in a discourse preached in June, 1790. By a dignitary of the Church of England",,46,
K025748.000,,,,Free,William Gilpin,,,,,,,29002,10762,,,United Kingdom of Great Britain and Ireland,,,William Gilpin by Henry Walton.jpg,,,"painter, writer, biographer",,,,Anglicanism,male,,,William Gilpin,,,,,,"Gilpin, William, 1724-1804.",1,1797,"The Lord's cup: or, the dispensations of providence with regard to good and evil, considered in a sermon; by William Gilpin,...",,13,
K026235.000,,,,Free,James Macpherson,,,,,,,,17728,,,"Great Britain, United Kingdom",,Scottish people,James Macpherson by George Romney.jpg,,,"poet, writer, politician",,,"Member of Parliament in the Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",,male,,,James Macpherson,,,,,,"Macpherson, James, 1736-1796.",1,1779,A short history of the opposition during the last session of Parliament,,61,
K026247.000,,,,Free,James Boswell,,,,,The Life of Samuel Johnson,,85195,2950,,,"Great Britain, United Kingdom",University of Edinburgh,,James Boswell of Auchinleck.jpg,,,"diarist, writer, lawyer, biographer",,,,,male,Margaret Boswell,,James Boswell,,,,,,"Boswell, James, 1740-1795.",1,1790,"A conversation between His most sacred Majesty George III. and Samuel Johnson, LL.D. Illustrated with observations, by James Boswell, Esquire",,8,
K026311.000,,,,Free,William Gilpin,,,,,,,29002,10762,,,United Kingdom of Great Britain and Ireland,,,William Gilpin by Henry Walton.jpg,,,"painter, writer, biographer",,,,Anglicanism,male,,,William Gilpin,,,,,,"Gilpin, William, 1724-1804.",1,1798,"An explanation of the duties of religion, for the use of Boldre School, in New Forest. N.B. The small paper prefixed, which is the groundwork of this explanation, is distributed in little books among the children of the parish,",,39,
K026709.000,,,,Free,Hannah More,"poetry, essay",,,,Thoughts on the Importance of the Manners of the Great to General Society,,39360,19179,1bba70db-d114-4950-bea0-234faf6235bc,,"United Kingdom of Great Britain and Ireland, Great Britain",,,HannahMore.jpg,Blue Stockings Society,,"writer, poet, essayist, philanthropist, abolitionist",Somerset,,,Anglicanism,female,,,Hannah More,,,,,,"More, Hannah, 1745-1833.",1,1778,Percy: a tragedy. As it is acted at the Theater Royal in Covent Garden.,,100,
K026892.000,,,,Free,"Mason, William, 1719-1791.",,,,,,,,,,,,,,,,,,,,,,male,,,"Mason, William, 1719-1791.",,,,,,"Mason, William, 1719-1791.",1,1758,"Remarks and observations on the morality and divinity contained in Dr. Free's certain articles: proposed to the Court of Assistants, of the Worshipful Company of Salters. In a letter to the Reverend Dr. Free.",,19,
K027127.000,,,,Free,Alexander Gerard,,,,,,,,10548,,,Scotland,University of Aberdeen,,,,,philosopher,,,Moderator of the General Assembly of the Church of Scotland,Presbyterianism,male,,,Alexander Gerard,,,,,,"Gerard, Alexander, 1728-1795.",1,1761,"The influence of piety on the public good. A sermon, preached in the High Church of Edinburgh, May 31. 1761, ... By Alexander Gerard,",,30,
K027143.000,,,,Free,William Gilpin,,,,,,,29002,10762,,,United Kingdom of Great Britain and Ireland,,,William Gilpin by Henry Walton.jpg,,,"painter, writer, biographer",,,,Anglicanism,male,,,William Gilpin,,,,,,"Gilpin, William, 1724-1804.",1,1788,"Two sermons: The first, on comparing spiritual things with spiritual, preached at the primary visitation of the Lord Bishop of Winchester, at Southampton, July 15, 1788; ... the second, on the simplicity of the Gospel, preached ... September 13, 1780; ... By William Gilpin, ...",,55,
K027268.000,,,,Free,Mark Akenside,,,,,,,82850,263,,,Great Britain,,,Mark Akenside.jpg,Royal Society,,"poet, physician, physician writer",,,,,male,,,Mark Akenside,,,,,,"Akenside, Mark, 1721-1770.",1,1745,Odes on several subjects,,43,
K027367.000,,,,Free,William Congreve,,,,,,,67570,6069,,,Great Britain,,,"William Congreve by Sir Godfrey Kneller, Bt.jpg",,,"playwright, poet, writer, translator, engineer, librettist",Westminster Abbey,,,,male,"Henrietta Godolphin, 2nd Duchess of Marlborough",,William Congreve,,,,,,"Congreve, William, 1670-1729.",1,1703,"The mourning bride. A tragedy: As it is acted at the Theater in Lincoln's-Inn-Fields, by His Majesty's servants. Written by Mr. Congreve.",,78,
K027505.000,,,,Free,William Congreve,,,,,,,67570,6069,,,Great Britain,,,"William Congreve by Sir Godfrey Kneller, Bt.jpg",,,"playwright, poet, writer, translator, engineer, librettist",Westminster Abbey,,,,male,"Henrietta Godolphin, 2nd Duchess of Marlborough",,William Congreve,,,,,,"Congreve, William, 1670-1729.",1,1703,The tears of Amaryllis for Amyntas. A pastoral: Lamenting the death of the late Lord Marquis of Blanford. ... By Mr. Congreve.,,10,
K027590.000,,,,Free,William Kenrick,,,,,,,149492,15416,,,Great Britain,,,William Kenrick.jpg,,,"writer, playwright, translator",,,,,male,,,William Kenrick,,,,,,"Kenrick, W. (William), 1725?-1779.",1,1773,"A whipping for the Welsh parson: Being a comment on the Rev. Mr. Evan Lloyd's Epistle to David Garrick, Esquire. By Scriblerius Flagellarius. To which is superadded the parson's text.",,47,
K027591.000,,,,Free,Charles Macklin,,,,,,,152921,17622,,,Ireland,,,Charles Macklin by John Opie.jpg,,,"actor, playwright, stage actor",,,,,male,,,"Macklin, Charles, 1697-1797.",,,,,,"Macklin, Charles, 1697?-1797.",1,1791,"Proposals for publishing by subscription The man of the world, a comedy, in five acts; and, Love a la mode, a comedy, in two acts, written by Mr. Charles Macklin.; Man of the world.",,4,
K027597.000,,,,Free,"Webster, Charles, 1750-1795.",,,,,,,,,,,,,,,,,,,,,,male,,,"Webster, Charles, 1750-1795.",,,,,,"Webster, Charles, 1750-1795.",1,1793,"Facts, tending to show the connection of the stomach with life, disease, and recovery",,62,
K027621.001,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1760,The sermons of Mr. Yorick.,,209,
K027621.002,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1760,The sermons of Mr. Yorick.,,229,
K027631.000,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1782,"The beauties of Stern: including all his pathetic tales, and most distinguished observations on life. Selected for the heart of sensibility.",,247,
K027657.000,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1773,Letters from Yorick to Eliza,,88,
K027659.000,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1750,"The abuses of conscience: set forth in a sermon, preached in the Cathedral church of St. Peter's, York, ... on Sunday, July 29, 1750. By Laurence Stern, A.M. ...",,32,
K027660.001,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1768,A sentimental journey through France and Italy: By Mr. Yorick. ...,,242,
K027660.002,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1768,A sentimental journey through France and Italy: By Mr. Yorick. ...,,218,
K027670.001,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1,1775,"Letters of the late Rev. Mr. Laurence Stern, to his most intimate friends. With a fragment in the manner of Rabelais. To which are prefixed, memoirs of his life and family. Written by himself. And published by his daughter, Mrs. Medalle. In three volumes.",,193,
