DocName,FileName,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance
K005732.000,K005732.000.txt,,,,Free,Isaac Bickerstaffe,,,,,,,19577,2344.0,,,Ireland,,,,,,"playwright, librettist",,,,,male,,,Isaac Bickerstaffe,,,,,,"Bickerstaff, Isaac, 1735-1812.",1.0,1768.0,"The padlock: a comic opera: as it is performed by His Majesty's servants, at the Theater Royal in Drury Lane.",,34.0,,7584,1598,0.21070675105485231
K005787.000,K005787.000.txt,,,,Free,George Saville Carey,,,,,,,131849,4648.0,,,,,,,,,writer,,,,,male,,,George Saville Carey,,,,,,"Carey, George Saville, 1743-1807.",1.0,1770.0,The noble pedlar: a burletta. As performed at Marybone-Gardens. Set to music by Mr. Barthelemon.,,19.0,,3327,887,0.26660655244965437
K005796.000,K005796.000.txt,,,,Free,Benjamin Bell,,,,,,,84313,1998.0,,,Scotland,,,Benjamin Bell b.1749.jpg,"Royal Society of Edinburgh, Fellow of the Royal College of Surgeons of Edinburgh",,"surgeon, farmer, anatomist",Canongate Kirkyard,,,,male,,,Benjamin Bell,,,,,,"Bell, Benjamin, 1749-1806.",1.0,1800.0,Observations on the mode of attendance of the surgeons of Edinburgh on the Royal Infirmary: in a letter addressed to the Royal College of Surgeons; by Benjamin Bell.,,23.0,,6875,1054,0.15330909090909092
K005835.000,K005835.000.txt,,,,Free,"Kirkland, Thomas, 1722-1798.",,,,,,,,,,,,,,,,,,,,,,male,,,"Kirkland, Thomas, 1722-1798.",,,,,,"Kirkland, Thomas, 1722-1798.",1.0,1770.0,"Observations upon Mr. Pott's General remarks on fractures, &c: In three letters to a young surgeon intending to settle in the country. With a postscript, concerning the cure of compound dislocations; in which the usual method of treating wounds of the tendons and ligaments is briefly considered. By Thomas Kirkland, surgeon.",,96.0,,19536,2642,0.13523751023751024
K005838.000,K005838.000.txt,,,,Free,William Saunders,,,,,,,161843,24705.0,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,"William Saunders. Stipple engraving by H. Meyer, 1817, after Wellcome V0005220.jpg","Royal Society, Royal Society of Edinburgh",,physician,,,,,male,,,William Saunders,,,,,,"Saunders, William, 1743-1817.",1.0,1782.0,"Observations on the superior efficacy of the red Peruvian bark: in the cure of agues and other fevers. Interspersed with occasional remarks on the treatment of other diseases, by the same remedy. By William Saunders, M.D. ...",,91.0,,14101,2427,0.17211545280476562
K005840.000,K005840.000.txt,,,,Free,"Grant, Alexander, d. 1817.",,,,,,,,,,,,,,,,,,,,,,male,,,"Grant, Alexander, d. 1817.",,,,,,"Grant, Alexander, d. 1817.",1.0,1785.0,"Observations on the use of opium in removing symptoms supposed to be owing to morbid irritability: By Alexander Grant, ...",,39.0,,4834,993,0.2054199420769549
K005846.000,K005846.000.txt,,,,Free,Thomas Warton,,,,,,,155414,28799.0,,,Great Britain,University of Oxford,,Thomaswarton.jpg,,,"writer, poet, historian, literary critic, literary historian",,,Poet Laureate of the United Kingdom,Anglicanism,male,,,Thomas Warton,,,,,,"Warton, Thomas, 1728-1790.",1.0,1751.0,"New Market, a satire",,17.0,,2058,1072,0.5208940719144801
K005913.000,K005913.000.txt,,,,Free,"Flower, Henry.",,,,,,,,,,,,,,,,,,,,,,male,,,"Flower, Henry.",,,,,,"Flower, Henry.",1.0,1766.0,"Observations on the gout and rheumatism: Exhibiting instances of persons who were greatly relieved in the fit of the gout; ... by medicines discovered in America. With a short account of some medicines, and ways of curing diseases, used by the native Indians. To which are added, a few remarkable cases ... By Henry Flower, an American.",,33.0,,6973,1341,0.19231320808834074
K005971.000,K005971.000.txt,,,,Free,John Arbuthnot,,,,,,,17554,610.0,,,Great Britain,,,Arbuthnot John Kneller.jpg,"Royal Society, Royal College of Physicians",,"mathematician, writer, composer, physician","St James's Church, Piccadilly",Tories,,,male,,,John Arbuthnot,,,,,,"Arbuthnot, John, 1667-1735.",1.0,1712.0,John Bull in his senses: being the second part of Law is a bottomless-pit. Printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth.,,23.0,,6529,1646,0.2521059886659519
K006014.000,K006014.000.txt,,,,Free,Robert Lloyd,,,,,,,,16856.0,,,Great Britain,,,Robert Lloyd (1733–1764).jpg,,,poet,,,,,male,,,Robert Lloyd,,,,,,"Lloyd, Robert, 1733-1764.",1.0,1763.0,"The new-river head: A tale. Attempted in the manner of Mr. C. Denis. And inscribed to John Wilkes, Esquire. By Robert Lloyd.",,21.0,,2244,902,0.4019607843137255
K006075.000,K006075.000.txt,,,,Free,"Surgeons Hospital (Edinburgh, Scotland)",,,,,,,,,,,,,,,,,,,,,,,,,"Surgeons Hospital (Edinburgh, Scotland)",,,,,,"Surgeons Hospital (Edinburgh, Scotland)",1.0,1737.0,Memorial concerning the Surgeons Hospital,,14.0,,2218,691,0.31154192966636607
K006138.000,K006138.000.txt,,,,Free,Anton von Störck,,,,,,,,,,,Austria,University of Vienna,,Anton von Störck 2.jpg,German Academy of Sciences Leopoldina,,"pharmacologist, university teacher, politician",,,,,male,,,Anton von Störck," Storch, Anton von, Baron.",,,,,"Storck, Anton, Freiherr von, 1731-1803.; Storch, Anton von, Baron.",2.0,1762.0,"A necessary supplement to the former essays on the medicinal virtues of hemlock: By Dr. Antony Storck, ... With several corollaries and admonitions, and a figure of the plant, ... Translated from the original Latin, printed at Vienna, 1761, by a physician.; Supplementum necessarium de cicutae",,51.0,,7422,1579,0.21274589059552682
K006151.000,K006151.000.txt,,,,Free,Thomas Gray,,,,,,,29684,11356.0,,,Great Britain,University of Cambridge,English people,PortraitThomasGrayByJohnGilesEccart1747to1748.jpg,,English,"poet, writer, literary critic",Buckinghamshire,,professor,,male,,,Thomas Gray,,,,,,"Gray, Thomas, 1716-1771.",1.0,1757.0,"Odes: by Mr. Gray, author of An elegy in a country churchyard.",,15.0,,1978,1027,0.519211324570273
K006240.000,K006240.000.txt,,,,Free,Charles Dibdin,,,,,,,25210,7585.0,77ef5827-0568-4523-8a04-9284f4aee0b4,,United Kingdom of Great Britain and Ireland,,English people,Charles Dibdin by Thomas Phillips.jpg,,,"singer-songwriter, playwright, composer, writer, stage actor, singer",Winchester Cathedral,,,,male,Anne Maria Wylde,Harriet Pitt,Charles Dibdin,,,,,,"Dibdin, Charles, 1745-1814.",1.0,1795.0,Ode in honor of the nuptials of Their Royal Highnesses the Prince and Princess of Wales: written and composed by Mr. Dibdin.,,23.0,,2441,1021,0.4182712003277345
K006305.000,K006305.000.txt,,,,Free,Daniel Defoe,,,,,"Robinson Crusoe, Moll Flanders, A Journal of the Plague Year",,24826,7421.0,,,"Kingdom of England, Great Britain",,English people,Daniel Defoe Kneller Style.jpg,,,"journalist, novelist, prosaist, children's writer, publicist, writer, businessperson, opinion journalist",Bunhill Fields,,,,male,Mary Tuffley,,Daniel Defoe,,,,,,"Defoe, Daniel, 1661?-1731.",1.0,1702.0,The opinion of a known Dissenter on the bill for preventing occasional conformity,,2.0,,1725,487,0.28231884057971013
K006382.001,K006382.001.txt,,,,Free,Thomas Spence,,,,,,,,26112.0,,,United Kingdom of Great Britain and Ireland,,,ThomasSpence.png,,,"writer, politician",,,,,male,,,Thomas Spence,,,,,,"Spence, Thomas, 1750-1814.",1.0,1795.0,"Pigs' meat; or, lessons for the swinish multitude: Published in weekly penny numbers, collected by the poor man's advocate (an old veteran in the cause of freedom) in the course of his reading for more than twenty years. Intended to promote among the laboring part of mankind proper ideas of their situation, of their importance, and of their rights. And to convince them that their forlorn condition has not been entirely overlooked and forgotten, nor their just cause unpleaded, neither by their maker not by the best and most enlightened of men in all ages.",Poor -- Law and legislation -- Great Britain; Political rights -- Great Britain; Great Britain -- Politics and government; Protest literature -- 18th century. -- England; Periodicals -- 18th century. -- England,289.0,,88260,9406,0.10657149331520507
K006382.002,K006382.002.txt,,,,Free,Thomas Spence,,,,,,,,26112.0,,,United Kingdom of Great Britain and Ireland,,,ThomasSpence.png,,,"writer, politician",,,,,male,,,Thomas Spence,,,,,,"Spence, Thomas, 1750-1814.",1.0,1795.0,"Pigs' meat; or, lessons for the swinish multitude: Published in weekly penny numbers, collected by the poor man's advocate (an old veteran in the cause of freedom) in the course of his reading for more than twenty years. Intended to promote among the laboring part of mankind proper ideas of their situation, of their importance, and of their rights. And to convince them that their forlorn condition has not been entirely overlooked and forgotten, nor their just cause unpleaded, neither by their maker not by the best and most enlightened of men in all ages.",Poor -- Law and legislation -- Great Britain; Political rights -- Great Britain; Great Britain -- Politics and government; Protest literature -- 18th century. -- England; Periodicals -- 18th century. -- England,289.0,,85216,9241,0.10844207660533234
K006421.000,K006421.000.txt,,,,Free,"Heysham, John, 1753-1834.",,,,,,,,,,,,,,,,,,,,,,male,,,"Heysham, John, 1753-1834.",,,,,,"Heysham, John, 1753-1834.",1.0,1780.0,"Observations on the bills of mortality, in Carlisle: for the year 1779.",,12.0,,3872,1143,0.29519628099173556
K006500.000,K006500.000.txt,,,,Free,Thomas Paine,,,,,Common Sense,,146195,21133.0,bd17e01a-3c4e-43da-8ca5-a68414f842a3,,"Great Britain, United States of America, Great Britain, Kingdom of France, Kingdom of France, French First Republic, United States of America",,English people,Thomas Paine.jpg,"American Philosophical Society, Pennsylvania Abolition Society",French,"philosopher, politician, writer, entrepreneur, journalist, prosaist, opinion journalist",New Rochelle,,member of the French National Assembly,deism,male,,,Thomas Paine,,,,,,"Pain, Thomas, 1737-1809.",1.0,1792.0,"Letter of Thomas Pain, to the people of France: Published and distributed gratis by the London Corresponding Society.; Lettre de Thomas Pain au peuple francois. English",,7.0,,1160,441,0.38017241379310346
K006508.000,K006508.000.txt,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1759.0,"Observations on the use of bathing; warm and cold: and the diseases it will cure without a doctor. With an account of the cicer venereum, ... the celebrated restorative among the ancient Greeks, ... Illustrated with its figure.",,41.0,,7329,1602,0.21858370855505527
K006521.000,K006521.000.txt,,,,Free,William Mason,,,,,,,,18293.0,,,,,,William Mason by William Doughty.jpg,,,poet,,,,,male,,,William Mason,,,,,,"Mason, William, 1725-1797.",1.0,1776.0,"Ode to Mr. Pinchbeck, upon his newly invented patent candle-snuffers: by Malcolm M'Greggor, ...",,11.0,,1677,773,0.4609421586165772
K006534.000,K006534.000.txt,,,,Free,John Latham,,,,,,,151285,16091.0,,,Great Britain,,,John Latham (1761–1831).jpg,Royal Society,,physician,,,,,male,Mary Mayer,,John Latham,,,,,,"Latham, John, 1761-1843.",1.0,1796.0,"On rheumatism, and gout: a letter addressed to Sir George Baker, ... By John Latham, M.D. ...",,79.0,,14804,2483,0.1677249392056201
K006560.000,K006560.000.txt,,,,Free,Richard Glover,,,,,,,141851,10831.0,,,Great Britain,,English people,,,English,"writer, politician, poet",,,Member of the 12th Parliament of Great Britain,,male,,,Richard Glover,,,,,,"Glover, Richard, 1712-1785.",1.0,1774.0,"The life of Dr. Oliver Goldsmith: written from personal knowledge, authentic papers, and other indubitable authorities. To which are added, such select observations, from various parts of this writer's works, as may tend to recreate the fancy, improve the understanding, and amend the heart.; Authentic anecdotes of the late Dr. Goldsmith",,47.0,,8668,2522,0.29095523765574527
K006726.000,K006726.000.txt,,,,Free,John O'Keeffe,,,,,,,158619,20658.0,,,,,,John O'Keeffe by Thomas or William Lawranson.jpg,,,"actor, writer",,,,,male,,,John O'Keeffe,,,,,,"O'Keeffe, John, 1747-1833.",1.0,1785.0,"Peeping Tom, of Coventry: A comic opera. As it is performed at the Theater Royal, Smock-Alley. By John O'Keefe, Esquire;.",,40.0,,7690,1509,0.1962288686605982
K006903.000,K006903.000.txt,,,,Free,Samuel-Auguste Tissot,,,,,l’Onanisme,,,,,tuberculosis,Switzerland,,,Samuel Auguste Tissot.jpg,Royal Society,,"physician, university teacher",,,,,male,,,Samuel-Auguste Tissot,,,,,,"Tissot, S. A. D. (Samuel Auguste David), 1728-1797.",1.0,1766.0,"The lady's physician: A practical treatise on the various disorders incident to the fair sex. ... Written originally in French, by M. Tissot, ... Translated by an eminent physician.",,46.0,,9008,2099,0.2330150976909414
K006904.000,K006904.000.txt,,,,Free,John Arbuthnot,,,,,,,17554,610.0,,,Great Britain,,,Arbuthnot John Kneller.jpg,"Royal Society, Royal College of Physicians",,"mathematician, writer, composer, physician","St James's Church, Piccadilly",Tories,,,male,,,John Arbuthnot,,,,,,"Arbuthnot, John, 1667-1735.",1.0,1712.0,"Law is a bottomless-pit: Exemplified in the case of the Lord Strutt, John Bull, Nicholas Frog, and Lewis Baboon. Who spent all they had in a lawsuit. Printed from a manuscript found in the cabinet of the famous Sir Humphry Polesworth.",,16.0,,5701,1571,0.2755656902297842
K007016.000,K007016.000.txt,,,,Free,Jonathan Swift,,,,,"Gulliver's Travels, A Modest Proposal, A Tale of a Tub",,47854,26833.0,01836e5a-3777-44b1-987b-c5df124dd527,,Kingdom of Ireland,,Anglo-Irish people,Jonathan Swift by Charles Jervas detail.jpg,,,"poet, novelist, satirist, philosopher, human rights activist, pamphleteer, priest, writer, science fiction writer, essayist, opinion journalist, children's writer",St Patrick's Cathedral,Tories,,Anglicanism,male,Esther Johnson,,Henry Carey,Jonathan Swift,,,,,"Carey, Henry, 1687?-1743.; Swift, Jonathan, 1667-1745.",2.0,1727.0,"A poem to His Majesty King George, II. on the present state of affairs in England: with remarks on the alterations expected at court, after the rise of the Parliament. By the Rev. Dr. J. Swift, ... In Lilliputian verse.; Lilliputian ode on King George the IId's and Queen Caroline's happy accession to the throne",,1.0,,121,96,0.7933884297520661
K007021.000,K007021.000.txt,,,,Free,Stephen Duck,,,,,,,137621,8131.0,,Died by Nagato,,,,,,,poet,,,,,male,,,Stephen Duck,,,,,,"Duck, Stephen, 1705-1756.",1.0,1735.0,A poem on Her Majesty's birthday: By Stephen Duck.,,6.0,,457,279,0.6105032822757112
K007022.000,K007022.000.txt,,,,Free,Stephen Duck,,,,,,,137621,8131.0,,Died by Nagato,,,,,,,poet,,,,,male,,,Stephen Duck,,,,,,"Duck, Stephen, 1705-1756.",1.0,1734.0,"A poem on the marriage of His serene Highness the Prince of Orange: with Ann Princess-Royal of Great Britain. By Stephen Duck. To which are added, Verses to the author, by a divine. With the author's answer.",,17.0,,1732,839,0.48441108545034645
K007102.000,K007102.000.txt,,,,Free,Oliver Goldsmith,,,,,The Vicar of Wakefield,,29286,10924.0,70675cb4-21a6-457f-beef-8530dbdc7ed6,kidney failure,"Kingdom of Ireland, Ireland, United Kingdom",,Irish people,Oliver Goldsmith by Sir Joshua Reynolds.jpg,,English,"physician, physician writer, poet, playwright, literary critic, novelist, writer, essayist, polygraph, dramaturge, theatrical producer",Temple Church,,,,male,,,Oliver Goldsmith,,,,,,"Goldsmith, Oliver, 1730?-1774.",1.0,1777.0,"Poems and plays. By Oliver Goldsmith, M.B. To which is prefixed, the life of the author",,327.0,,64553,7080,0.10967731941195606
K007115.000,K007115.000.txt,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1782.0,"New thoughts on medical electricity: Or, an attempt to discover the real uses of electricity in medicine. In two letters to a friend.",,49.0,,8577,1716,0.20006995452955578
K007192.000,K007192.000.txt,,,,Free,Laurence Sterne,,,,,"The Life and Opinions of Tristram Shandy, Gentleman, A Sentimental Journey Through France and Italy, A Political Romance",,47344,26412.0,,tuberculosis,Great Britain,,Irish people,Laurence Sterne by Sir Joshua Reynolds.jpg,,,"writer, novelist, autobiographer, religious",Coxwold,,vicar,Anglicanism,male,,,Laurence Sterne,,,,,,"Stern, Laurence, 1713-1768.",1.0,1759.0,"A political romance: addressed to - -, Esquire. of York. To which is subjoined a key ...",,52.0,,8517,1734,0.20359281437125748
K007216.000,K007216.000.txt,,,,Free,John Philip Kemble,,,,,,,33619,15322.0,,,United Kingdom of Great Britain and Ireland,,,"Beechey, Sir William - John Philip Kemble - Google Art Project.jpg",,,"impresario, stage actor",,,,,male,Priscilla Hopkins,,John Philip Kemble,,,,,,"Kemble, John Philip, 1757-1823.",1.0,1789.0,"The panel: As altered by J. P. Kemble. From Bickerstaff's translation of Calderon's El escondido y la trapada; and first acted at the Theater Royal in Drury Lane, November 28th, 1788.",,52.0,,12748,1744,0.13680577345465955
K007219.000,K007219.000.txt,,,,Free,Prince Hoare,,,,,,,147162,13384.0,,,"Great Britain, United Kingdom of Great Britain and Ireland",,,"Prince Hoare (1755–1834), by Thomas Lawrence.jpg",,,painter,,,,,male,,,Prince Hoare,,,,,,"Hoare, Prince, 1755-1834.",1.0,1793.0,"The prize: or, 2, 5, 3, 8, a musical farce in two acts, as performed by His Majesty's company. Written by Prince Hoare, Esquire. The music by Storace. Correctly taken from the manager's book.",,43.0,,8043,1628,0.20241203531020763
K007507.000,K007507.000.txt,,,,Free,Charles Dibdin,,,,,,,25210,7585.0,77ef5827-0568-4523-8a04-9284f4aee0b4,,United Kingdom of Great Britain and Ireland,,English people,Charles Dibdin by Thomas Phillips.jpg,,,"singer-songwriter, playwright, composer, writer, stage actor, singer",Winchester Cathedral,,,,male,Anne Maria Wylde,Harriet Pitt,Charles Dibdin,,,,,,"Dibdin, Charles, 1745-1814.",1.0,1796.0,"Proposals for publishing by subscription, dedicated, with permission, to the most noble the Marquis of Salisbury, A complete history of the English stage ... The whole written, with the asistance of interesting documents, collected in the course of five and thirty years, by Mr. Dibdin; Complete history of the English stage.",,4.0,,840,383,0.45595238095238094
K007545.000,K007545.000.txt,,,,Free,Charlotte Lennox,poetry,,,,,,153742,16454.0,,,"United Kingdom of Great Britain and Ireland, United States of America, United Kingdom",,,Charlotte Lennox 02.jpg,,,"poet, translator, novelist, writer, playwright, editor",,,,,female,,,Charlotte Lennox,James Boswell,,,,,"Lennox, Charlotte, ca. 1729-1804.; Boswell, James, 1740-1795.",2.0,1796.0,Proposals for publishing a new and improved edition of Shakspeare illustrated. By Charlotte Lennox,,1.0,,393,219,0.5572519083969466
K007597.000,K007597.000.txt,,,,Free,William Mason,,,,,,,,18293.0,,,,,,William Mason by William Doughty.jpg,,,poet,,,,,male,,,William Mason,,,,,,"Mason, William, 1725-1797.",1.0,1782.0,"King Stephen's watch: A tale, founded on fact. By the author of the Heroic epistle to Sir William Chambers, Knt.",,9.0,,743,385,0.5181695827725438
K007618.000,K007618.000.txt,,,,Free,William Shenstone,,,,,,,46079,25321.0,,,"Great Britain, United Kingdom",,,William Shenstone by Edward Alcock.jpg,,,"horticulturist, poet, gardener, writer",,,,,male,,,William Shenstone,,,,,,"Shenstone, William, 1714-1763.",1.0,1737.0,"Poems upon various occasions: Written for the entertainment of the author, and printed for the amusement of a few friends, prejudiced in his favor. By William Shenstone, gent.",,77.0,,9540,2914,0.30545073375262055
K007722.000,K007722.000.txt,,,,Free,John Dennis,,,,,,,136099,7503.0,,,Great Britain,,,John Dennis (dramatist).jpg,,,"writer, playwright, literary critic",,,,,male,,,John Dennis,,,,,,"Dennis, John, 1657-1734.",1.0,1723.0,"Remarks on a play, called, The conscious lovers: a comedy. By Mr. Dennis.",,66.0,,13157,2620,0.19913354108079348
K007766.000,K007766.000.txt,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1775.0,"Remarks on the final cessation of the menses: and on a remedy and method of treatment, adapted to prevent or remove the evil consequences attending that period: together with some strictures on secret and advertised medicines in general.",,23.0,,4440,1231,0.27725225225225225
K007863.000,K007863.000.txt,,,,Free,Henry Jones,,,,,,,209822,15012.0,,,,,,,,,"poet, playwright",,,,,male,,,Henry Jones,,,,,,"Jones, Henry, 1721-1770.",1.0,1763.0,The royal vision: in an ode to peace: By Henry Jones ...,,11.0,,1086,572,0.5267034990791897
K007929.000,K007929.000.txt,,,,Free,James Macpherson,,,,,,,,17728.0,,,"Great Britain, United Kingdom",,Scottish people,James Macpherson by George Romney.jpg,,,"poet, writer, politician",,,"Member of Parliament in the Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",,male,,,James Macpherson,,,,,,"Macpherson, James, 1736-1796.",1.0,1775.0,The rights of Great Britain asserted against the claims of America: being an answer to the declaration of the General Congress.,,94.0,,20113,3115,0.15487495649579874
K007960.000,K007960.000.txt,,,,Free,Arthur Murphy,,,,,,,39729,19569.0,,,Ireland,,,"Arthur Murphy by Nathaniel Dance, (later Sir Nathaniel Dance-Holland, Bt).jpg",,,"writer, biographer",,,,,male,,,Arthur Murphy,,,,,,"Murphy, Arthur, 1727-1805.",1.0,1793.0,"The rival sisters: A tragedy. Adapted for theatrical representation, as performed at the Theater Royal, Drury Lane. Regulated from the prompt-book, ...",,70.0,,21360,3462,0.16207865168539326
K007970.000,K007970.000.txt,,,,Free,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719.",1.0,1707.0,Rosamond: An opera. Humbly inscribed to Her Grace the Duchess of Marlborough.,,39.0,,5695,1547,0.2716417910447761
K007986.001,K007986.001.txt,,,,Free,"Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy",,Précieuses,,,"La Chatte blanche, The Yellow Dwarf, Finette Cendron, Prince Sprite, The Blue Bird, The White Doe, The Green Serpent, The Beauty with Golden Hair",,,,d4346cd3-5854-46d6-bbb5-282a2376f1b6,,France,,,D'Aulnoy.jpg,,French,"writer, salonnière, novelist, collector of fairy tales",,,,,female,,,"Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy",,,,,,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",1.0,1701.0,"Memoirs of the present state of the court and councils of Spain: In two parts. With the true reasons why this vast monarchy, which in the last century made so considerable a figure in the world, is in this so feeble and paralytick. Done into English by T. Brown.; Memoires de la cour d'Espagne. English",,203.0,,57755,5435,0.09410440654488789
K007986.002,K007986.002.txt,,,,Free,"Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy",,Précieuses,,,"La Chatte blanche, The Yellow Dwarf, Finette Cendron, Prince Sprite, The Blue Bird, The White Doe, The Green Serpent, The Beauty with Golden Hair",,,,d4346cd3-5854-46d6-bbb5-282a2376f1b6,,France,,,D'Aulnoy.jpg,,French,"writer, salonnière, novelist, collector of fairy tales",,,,,female,,,"Marie-Catherine Le Jumel de Barneville, baroness d'Aulnoy",,,,,,"Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.",1.0,1701.0,"Memoirs of the present state of the court and councils of Spain: In two parts. With the true reasons why this vast monarchy, which in the last century made so considerable a figure in the world, is in this so feeble and paralytick. Done into English by T. Brown.; Memoires de la cour d'Espagne. English",,193.0,,57140,5096,0.08918445922296114
K008041.000,K008041.000.txt,,,,Free,Joseph Reed,,,,,,,168392,23273.0,,,Great Britain,,,,,,"playwright, poet",,,,,male,,,Joseph Reed,,,,,,"Reed, Joseph, 1723-1787.",1.0,1761.0,The register-office: a farce of two acts. Acted at the Theater Royal in Drury Lane. By J. Reed.,,42.0,,13963,2868,0.20539998567643056
K008077.000,K008077.000.txt,,,,Free,Stephen Duck,,,,,,,137621,8131.0,,Died by Nagato,,,,,,,poet,,,,,male,,,Stephen Duck,,,,,,"Duck, Stephen, 1705-1756.",1.0,1730.0,"Royal benevolence. A poem. Most humbly addressed to Her Majesty Queen Caroline: As it was presented to the said Queen's Majesty, by the author, on Friday, the 2d of October, 1730. at Windsor-Castle. To which is annexed, a poem on providence. Both written by Stephen Duck ...",,8.0,,948,457,0.4820675105485232
K008158.001,K008158.001.txt,,,,Free,Ann Radcliffe,,,,,,,172296,22974.0,441e88b6-b43c-4d7f-8fcc-d25c96ccac76,asthma,"Great Britain, United Kingdom of Great Britain and Ireland",,,Ann Radcliffe.jpg,,,"writer, novelist",St George's Hanover Square Church,,,,female,William Radcliffe,,Ann Radcliffe,,,,,,"Radcliffe, Ann Ward, 1764-1823.",1.0,1792.0,"The romance of the forest: interspersed with some pieces of poetry. By the authoress of ""A Sicilian romance,"" &c. In two volumes. ...",,288.0,,64419,5428,0.0842608547167761
K008158.002,K008158.002.txt,,,,Free,Ann Radcliffe,,,,,,,172296,22974.0,441e88b6-b43c-4d7f-8fcc-d25c96ccac76,asthma,"Great Britain, United Kingdom of Great Britain and Ireland",,,Ann Radcliffe.jpg,,,"writer, novelist",St George's Hanover Square Church,,,,female,William Radcliffe,,Ann Radcliffe,,,,,,"Radcliffe, Ann Ward, 1764-1823.",1.0,1792.0,"The romance of the forest: interspersed with some pieces of poetry. By the authoress of ""A Sicilian romance,"" &c. In two volumes. ...",,335.0,,72176,6164,0.08540234981157172
K008178.000,K008178.000.txt,,,,Free,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719.",1.0,1718.0,The resurrection. A poem: Written by Mr. Addison.; Resurrectio delineata ad altar col. Magd. Oxon. English and Latin,,26.0,,2619,1473,0.5624284077892325
K008190.000,K008190.000.txt,,,,Free,Thomas Vaughan,,,,,,,,28149.0,,,,,,,,,playwright,,,,,male,,,Thomas Vaughan,,,,,,"Vaughan, Thomas, fl. 1772-1820.",1.0,1761.0,The retort: By the author.,,23.0,,4163,1635,0.39274561614220516
K008205.000,K008205.000.txt,,,,Free,,,,,,,,,,,,,,,,,,,,,,,male,,,,,,,,,,,1764.0,"A review of the London dispensatory: Wherein are considered, the inconsistencies of some medicines, and the real merit of others. Addressed to the College of Physicians.",,69.0,,7467,1622,0.21722244542654345
K008295.001,K008295.001.txt,,,,Free,Samuel Johnson,,,,Hodge,A Dictionary of the English Language,,72656,14918.0,,surgical complications,Great Britain,,,Samuel Johnson by Joshua Reynolds.jpg,,English,"lexicographer, linguist, poet, literary historian, writer, teacher, literary critic, biographer, essayist, politician, translator, bookseller",Westminster Abbey,Tories,,Anglicanism,male,Elizabeth Porter,,Samuel Johnson,,,,,,"Johnson, Samuel, 1709-1784.",1.0,1752.0,The Rambler.,,301.0,,56742,6924,0.12202601247752987
K008295.002,K008295.002.txt,,,,Free,Samuel Johnson,,,,Hodge,A Dictionary of the English Language,,72656,14918.0,,surgical complications,Great Britain,,,Samuel Johnson by Joshua Reynolds.jpg,,English,"lexicographer, linguist, poet, literary historian, writer, teacher, literary critic, biographer, essayist, politician, translator, bookseller",Westminster Abbey,Tories,,Anglicanism,male,Elizabeth Porter,,Samuel Johnson,,,,,,"Johnson, Samuel, 1709-1784.",1.0,1752.0,The Rambler.,,295.0,,55029,6986,0.12695124388958548
